epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,81.4942,1.02151,1.07576,1.00171,0.68557,0.42631,0.49976,0.4041,0.84945,0.79887,0.93718,0.00995842,0.00995842,0.00995842
44,83.1273,0.97542,1.01262,0.98614,0.68269,0.41307,0.48865,0.37791,1.02154,0.91271,1.0084,0.00995743,0.00995743,0.00995743
45,84.6511,1.01618,1.00412,0.97434,0.696,0.39892,0.48034,0.38588,0.89152,0.86104,0.94692,0.00995644,0.00995644,0.00995644
46,86.1942,0.98534,1.03477,0.96018,0.64064,0.50084,0.51997,0.42506,0.85362,0.83333,0.9412,0.00995545,0.00995545,0.00995545
47,87.7419,0.97611,1.00697,0.96115,0.58892,0.51278,0.4826,0.37603,0.98832,0.90295,0.96807,0.00995446,0.00995446,0.00995446
48,89.6916,1.00168,1.0024,0.95362,0.56339,0.53859,0.49158,0.39326,0.86223,0.84881,0.95001,0.00995347,0.00995347,0.00995347
49,91.5175,0.91974,0.91345,0.95828,0.61548,0.51643,0.53782,0.43428,0.88335,0.92148,0.94313,0.00995248,0.00995248,0.00995248
50,93.1431,0.96004,0.93083,0.95469,0.6378,0.4993,0.54086,0.43158,0.90568,0.93185,0.95407,0.00995149,0.00995149,0.00995149
51,94.9061,0.91964,0.8974,0.96382,0.61629,0.49073,0.56221,0.45229,0.88229,0.94907,0.93851,0.0099505,0.0099505,0.0099505
52,96.6654,0.90418,0.97493,0.94628,0.63524,0.40548,0.55397,0.45154,0.82776,0.89933,0.93265,0.00994951,0.00994951,0.00994951
53,98.1556,0.88892,0.90915,0.94758,0.56817,0.52463,0.55492,0.44424,0.94551,0.95585,0.95752,0.00994852,0.00994852,0.00994852
54,99.8944,0.93445,0.9111,0.94872,0.60877,0.46421,0.5475,0.44033,0.85988,0.85428,0.93901,0.00994753,0.00994753,0.00994753
55,101.496,0.98196,0.91651,0.95388,0.55241,0.55229,0.55837,0.45685,0.84935,0.8492,0.9429,0.00994654,0.00994654,0.00994654
56,103.058,0.9352,0.88509,0.9468,0.66812,0.48789,0.57327,0.47564,0.908,0.79166,0.95222,0.00994555,0.00994555,0.00994555
57,104.614,0.92894,0.86682,0.96021,0.63461,0.54698,0.57316,0.47147,0.85111,0.82934,0.93792,0.00994456,0.00994456,0.00994456
58,106.149,0.91002,0.82506,0.9598,0.65978,0.515,0.60353,0.49649,0.83172,0.77098,0.93977,0.00994357,0.00994357,0.00994357
59,107.657,0.90807,0.84257,0.96602,0.65076,0.51514,0.59851,0.49561,0.87841,0.7736,0.92919,0.00994258,0.00994258,0.00994258
60,109.267,0.87332,0.81411,0.93393,0.687,0.48428,0.61583,0.50627,0.82034,0.73096,0.92949,0.00994159,0.00994159,0.00994159
61,111.078,0.88542,0.82644,0.92835,0.60212,0.59995,0.64512,0.52773,0.84404,0.75232,0.93368,0.0099406,0.0099406,0.0099406
62,112.657,0.86674,0.79428,0.94428,0.64661,0.57895,0.63802,0.53178,0.81777,0.71344,0.9222,0.00993961,0.00993961,0.00993961
63,114.151,0.86951,0.81348,0.93957,0.5941,0.62538,0.64078,0.52943,0.8481,0.76855,0.92989,0.00993862,0.00993862,0.00993862
64,115.679,0.93588,0.82467,0.94829,0.63172,0.61337,0.65631,0.54504,0.81163,0.76367,0.92392,0.00993763,0.00993763,0.00993763
65,117.249,0.91696,0.80114,0.95298,0.65439,0.61055,0.66065,0.5459,0.84803,0.74766,0.92382,0.00993664,0.00993664,0.00993664
66,118.875,0.87364,0.78022,0.93759,0.52572,0.67262,0.64778,0.54809,0.79973,0.68622,0.92501,0.00993565,0.00993565,0.00993565
67,120.492,0.88764,0.76561,0.93737,0.5452,0.66704,0.66263,0.55678,0.78611,0.6721,0.91602,0.00993466,0.00993466,0.00993466
68,122.005,0.86271,0.74257,0.92725,0.5218,0.65947,0.65015,0.53609,0.8742,0.69578,0.9178,0.00993367,0.00993367,0.00993367
69,123.517,0.88604,0.76162,0.94725,0.5889,0.63477,0.6654,0.5616,0.7766,0.65757,0.90961,0.00993268,0.00993268,0.00993268
70,125.105,0.87215,0.76978,0.93116,0.52989,0.67963,0.68271,0.5706,0.78015,0.6936,0.90645,0.00993169,0.00993169,0.00993169
71,126.732,0.88945,0.77121,0.93627,0.67943,0.55823,0.66891,0.554,0.80874,0.70265,0.91328,0.0099307,0.0099307,0.0099307
72,128.319,0.85078,0.7542,0.92974,0.69365,0.59345,0.6978,0.5947,0.76786,0.69506,0.90228,0.00992971,0.00992971,0.00992971
73,129.865,0.82499,0.78846,0.9256,0.62731,0.62214,0.69568,0.58883,0.79696,0.70586,0.91308,0.00992872,0.00992872,0.00992872
